FAMILY,MODEL,FIELD_KEY,LABEL,VALUE_KIND,UNIT,VALUE,SCOPE,SORT
AOS Performance,APF-50,nominal_flux,Nominal flux,number,lm,9800,common,10
AOS Performance,APF-50,nominal_power,Nominal power,number,W,50,common,20
AOS Performance,APF-50,efficiency,Efficiency,number,lm/W,196,common,30
AOS Performance,APF-50,led,LED,text,,PHILIPS Luxeon 30-30,common,40
AOS Performance,APF-50,led_lifetime,LED lifetime,text,,Over 100.000 Hrs - LM80,common,50
AOS Performance,APF-50,optics,Optics,text,,TII-S / 2300 to 6000K,common,60
AOS Performance,APF-50,battery_technology,Battery technology,text,,Lithium Iron Phosphate LIFEPO4,common,90
AOS Performance,APF-50,battery_capacity,Battery capacity,number,Wh,384,common,100
AOS Performance,APF-50,autonomy,Autonomy,text,,>24 hours at full charge,common,110
AOS Performance,APF-50,charging_time,Charging time,text,,5/6,common,120
AOS Performance,APF-50,battery_lifespan,Battery lifespan,text,,Over 5000 CYCLES @ 50% DOD,common,130
AOS Performance,APF-50,working_temp,Working temperature,text,,-10°C to 70 °C (optional -40°C TO 70 °C ),common,140
AOS Performance,APF-50,solar_panel,Solar panel,text,,72W / 18V,common,150
AOS Performance,APF-50,cells_type,Solar cell type,text,,Monocrystaline Topcon Grade A,common,170
AOS Performance,APF-50,sensor,Sensor,text,,Microwave 360° Motion Sensor,common,190
AOS Performance,APF-50,controller,Controller,text,,MPPT SMART CONTROLLER,common,195
AOS Performance,APF-50,cabling,Cabling,text,,Waterproof Connector,common,196
AOS Performance,APF-50,protection,Protection,text,,Battery Management System (BMS),common,197
AOS Performance,APF-50,material,Material,text,,Aluminium & Stainless Steel,common,200
AOS Performance,APF-50,installation,Installation,text,,AOS Performance 50,common,210
AOS Performance,APF-50,pole_mounting,Pole mounting,text,,76mm to 89mm,common,215
AOS Performance,APF-50,certifications,Certifications,text,,IEC / TUV / EMC / LM-79 / LM-80 / IK8 / IP65 / CE / ULOR / LVD,common,240
AOS Performance,APF-50,warranty_pv,PV performance warranty,number,years,25,common,250
AOS Performance,APF-50,warranty_luminaire,Luminaire warranty,number,years,5,common,260
AOS Performance,APF-50,light_height,Light height,text,,From 4 to 5 meters,model,300
AOS Performance,APF-50,product_dimensions,Product dimensions,text,mm,944 x 440 x 248,model,310
AOS Performance,APF-50,carton_size,Carton size,text,mm,1010 x 500 x 270,model,320
AOS Performance,APF-50,net_weight,Net weight,number,kg,15.2,model,330
AOS Performance,APF-50,gross_weight,Gross weight,number,kg,16.2,model,335
AOS Performance,APF-50,warranty_battery,Battery & controller warranty,number,years,5,model,340
AOS Performance,APF-50,product_code,Product code,text,,APF-50,model,350
